Date,Open,High,Low,Close,Volume
16/10/2020,944.03,946.23,935.98,943.3,443.33K
15/10/2020,945.28,945.93,938.7,942.76,470.51K
14/10/2020,931.89,940.18,931.89,940.18,474.92K
13/10/2020,926.76,930.96,923.78,929.86,359.02K
12/10/2020,930.78,933.13,923.28,925.83,457.23K
9/10/2020,919.48,924,917.7,924,388.13K
8/10/2020,922.08,922.08,913.89,918.84,470.30K
7/10/2020,913.62,923.57,912.69,919.72,523.96K
6/10/2020,918.11,918.93,912.77,915.67,496.13K
5/10/2020,913.77,915.55,910.96,914.68,456.10K
2/10/2020,914.09,916.67,897.72,909.91,527.16K
1/10/2020,910.13,914.09,909.13,914.09,352.45K
30/09/2020,904.34,907,900.44,905.21,340.69K
29/09/2020,916.63,917.49,903.98,903.98,465.36K
28/09/2020,911.2,913.6,910.04,912.5,420.24K
25/09/2020,910.78,911.3,905.56,908.27,361.23K
24/09/2020,910.53,914.51,907.32,908.58,398.46K
23/09/2020,908.97,913.52,908.97,912.5,392.51K
22/09/2020,905.9,909.69,902.47,906.19,401.41K
21/09/2020,904.5,909.78,904.5,907.94,403.44K
18/09/2020,896.08,902.11,895.82,900.95,361.84K
17/09/2020,897.47,899.41,890.93,894.04,395.46K
16/09/2020,897.43,897.58,894.63,897.47,290.43K
15/09/2020,896.61,898.74,894.66,896.26,381.80K
14/09/2020,891.89,895.31,891.89,894.57,364.43K
11/9/2020,888.82,890.98,884.67,888.97,309.91K
10/9/2020,895.29,896.78,888.82,888.82,387.24K
9/9/2020,883.68,892.4,881.57,889.32,318.44K
8/9/2020,891.61,894.58,884.88,890.14,294.02K
7/9/2020,903.85,905.8,888.25,888.25,434.06K
4/9/2020,896.02,903.11,893.86,901.54,346.44K
3/9/2020,898.25,904.32,896.26,903.97,370.49K
1/9/2020,882.4,892.51,880.79,891.73,317.00K
31/08/2020,882.13,888.44,879.26,881.65,352.65K
28/08/2020,878.79,885.86,877.7,878.98,398.32K
27/08/2020,872.38,875.71,871.93,874.71,325.72K
26/08/2020,873.62,876.97,871.78,873.47,352.38K
25/08/2020,870.92,877.57,870.92,874.12,399.07K
24/08/2020,860.35,868.68,860.35,868.68,381.52K
21/08/2020,849.99,856.45,849.69,854.78,286.82K
20/08/2020,851.21,856.99,847.44,848.21,285.69K
19/08/2020,847.19,853.15,846.22,851.21,240.15K
18/08/2020,850.15,851.06,845,846.43,227.51K
17/08/2020,848.08,852.05,841.62,850.15,237.51K
14/08/2020,854.29,860.32,848.38,850.74,304.71K
13/08/2020,849.96,855.19,849.86,855.05,256.25K
12/8/2020,844.19,848.54,842.88,846.92,272.49K
11/8/2020,847.61,847.61,840.35,843.08,249.00K
10/8/2020,845.11,849.52,843.2,843.2,309.30K
7/8/2020,840.65,844.33,836.84,841.46,259.89K
6/8/2020,838.01,844.16,833.56,840.04,257.02K
5/8/2020,827.54,839.52,820.74,837.8,306.64K
4/8/2020,822.86,827.57,820.2,827.57,277.45K
3/8/2020,796.86,814.84,796.47,814.65,298.14K
31/07/2020,787.78,803.55,786.98,798.39,249.63K
30/07/2020,796.22,802.97,794.88,801.13,188.95K
29/07/2020,800.39,800.39,779.82,790.84,362.09K
28/07/2020,786.72,814.4,786.67,813.36,328.49K
27/07/2020,794.14,808.74,780.64,785.17,422.71K
24/07/2020,854.23,854.57,816.65,829.16,505.10K
23/07/2020,854.92,857.22,851.97,856.75,240.50K
22/07/2020,862.8,864,854.97,855.08,278.60K
21/07/2020,863.94,864.7,856.94,861.69,245.41K
20/07/2020,870.66,871.64,861.4,861.4,285.08K
17/07/2020,873.48,875.07,871.89,872.02,270.68K
16/07/2020,871.81,876.83,869.25,876.83,243.47K
15/07/2020,872.8,876.69,869.91,869.91,258.29K
14/07/2020,865.01,868.11,860.28,868.11,239.14K
13/07/2020,874.85,876.83,866.99,868.72,246.07K
10/7/2020,873.7,878.53,867.59,871.21,291.11K
9/7/2020,867.66,878.36,867.45,876.46,306.08K
8/7/2020,861.75,865.58,859.98,864.5,237.54K
7/7/2020,865.46,870.63,863.42,863.42,330.90K
6/7/2020,851.47,861.85,850.04,861.16,215.09K
3/7/2020,845.26,848.16,843.25,847.61,203.00K
2/7/2020,845.66,845.66,838.48,842.38,223.80K
1/7/2020,827.67,844.26,826.38,843.49,303.55K
30/06/2020,836.72,840.31,821.92,825.11,358.39K
29/06/2020,846.26,846.53,826,829.36,389.64K
26/06/2020,859.07,862.59,850.66,851.98,300.39K
25/06/2020,851.09,856.23,849.65,854.59,312.30K
24/06/2020,868.2,873.13,857.58,859.71,370.92K
23/06/2020,871.12,873.2,864.02,868.2,455.36K
22/06/2020,871.56,872.94,867.37,871.28,350.37K
19/06/2020,857.77,868.56,857.77,868.56,440.09K
18/06/2020,850.92,858.03,847.49,855.27,280.31K
17/06/2020,861.05,861.05,852.27,854.44,354.84K
16/06/2020,848.86,858.7,844.67,856.13,412.45K
15/06/2020,867.52,868.16,832.47,832.47,708.24K
12/6/2020,841.85,863.52,841.44,863.52,620.77K
11/6/2020,900.48,903.7,867.37,867.37,707.46K
10/6/2020,898.78,902.69,890.3,900,542.87K
9/6/2020,902.26,904.89,898.87,899.43,501.73K
8/6/2020,888.7,905.65,888.7,899.92,572.02K
5/6/2020,883.4,886.59,878.5,886.22,499.61K
4/6/2020,883.22,888.32,883.22,883.9,431.12K
3/6/2020,876.73,881.17,874.01,881.17,351.96K
2/6/2020,879.23,882.73,874.53,874.8,484.71K
1/6/2020,868.97,878.67,868.97,878.67,476.52K
29/05/2020,861.59,866.95,859.26,864.47,318.19K
28/05/2020,858.97,866.17,856.48,861.39,322.22K
27/05/2020,869.13,875.35,857.48,857.48,388.90K
26/05/2020,861.47,869.65,860.22,869.13,328.35K
25/05/2020,852.9,860.45,849.12,859.04,307.23K
22/05/2020,859.29,860.65,852.08,852.74,303.98K
21/05/2020,854.93,862.73,854.04,862.73,331.91K
20/05/2020,843.26,852.91,842.21,852.91,265.77K
19/05/2020,852.14,854.25,844.15,845.92,385.27K
18/05/2020,827.49,837.61,823.08,837.01,254.05K
15/05/2020,835.42,838.47,824.59,827.03,301.89K
14/05/2020,830.97,836.19,826.17,832.4,341.12K
13/05/2020,835.32,839.59,815.13,834.21,374.60K
12/5/2020,827.29,835.95,819.66,835.32,322.21K
11/5/2020,818.26,828.33,812.48,828.33,353.42K
8/5/2020,800.32,825.72,800.2,813.73,371.34K
7/5/2020,785.08,796.54,785.08,796.54,240.80K
